LSOA or DZ,Nation,Score,Rank,Decile
S01007511,Scotland,76.98687,1,1
S01009024,Scotland,76.76824,2,1
S01007902,Scotland,76.5618,3,1
S01011831,Scotland,74.89231,4,1
S01009033,Scotland,74.69249,5,1
S01010685,Scotland,74.23934,6,1
S01009023,Scotland,73.89071,7,1
S01012414,Scotland,73.80636,8,1
S01011832,Scotland,73.78384,9,1
S01012637,Scotland,73.76448,10,1
S01007324,Scotland,73.62279,11,1
S01009027,Scotland,73.51603,12,1
S01007903,Scotland,73.48679,13,1
S01012413,Scotland,73.3401,14,1
S01010684,Scotland,73.22489,15,1
S01011827,Scotland,73.21881,16,1
S01010812,Scotland,72.99675,17,1
S01009032,Scotland,72.95945,18,1
S01010689,Scotland,72.95056,19,1
S01010811,Scotland,72.77225,20,1
S01007284,Scotland,72.77184,21,1
S01012640,Scotland,72.61867,22,1
S01010813,Scotland,72.5601,23,1
S01010508,Scotland,72.55431,24,1
S01010814,Scotland,72.37414,25,1
S01010815,Scotland,72.34404,26,1
S01012387,Scotland,72.29889,27,1
S01010505,Scotland,72.16386,28,1
S01012416,Scotland,71.78065,29,1
S01007308,Scotland,71.75307,30,1
S01012409,Scotland,71.73638,31,1
S01007557,Scotland,71.73421,32,1
S01009029,Scotland,71.72301,33,1
S01007310,Scotland,71.70855,34,1
S01011172,Scotland,71.69769,35,1
S01010683,Scotland,71.69618,36,1
S01007329,Scotland,71.65502,37,1
S01010694,Scotland,71.5495,38,1
S01010678,Scotland,71.53494,39,1
S01010810,Scotland,71.49173,40,1
S01012415,Scotland,71.43846,41,1
S01009025,Scotland,71.30384,42,1
S01010687,Scotland,71.20562,43,1
S01007872,Scotland,71.08878,44,1
S01010771,Scotland,71.08371,45,1
S01011830,Scotland,70.94413,46,1
S01007554,Scotland,70.69061,47,1
S01007888,Scotland,70.55437,48,1
S01009028,Scotland,70.45844,49,1
S01010675,Scotland,70.39895,50,1
S01007553,Scotland,69.92269,51,1
S01007352,Scotland,69.43399,52,1
S01011828,Scotland,69.42136,53,1
S01009030,Scotland,69.39785,54,1
S01007501,Scotland,69.39727,55,1
S01007355,Scotland,69.27829,56,1
S01009031,Scotland,69.11978,57,1
S01007556,Scotland,69.05567,58,1
S01007871,Scotland,68.91061,59,1
S01010506,Scotland,68.87065,60,1
S01010772,Scotland,68.54334,61,1
S01007287,Scotland,68.48617,62,1
S01010504,Scotland,68.34029,63,1
S01013121,Scotland,67.92582,64,1
S01009021,Scotland,67.92129,65,1
S01007330,Scotland,67.85338,66,1
S01007312,Scotland,67.84701,67,1
S01007049,Scotland,67.60071,68,1
S01010757,Scotland,67.4237,69,1
S01010668,Scotland,67.31921,70,1
S01012412,Scotland,67.3176,71,1
S01011045,Scotland,67.29392,72,1
S01007512,Scotland,67.15178,73,1
S01010669,Scotland,67.07438,74,1
S01009034,Scotland,67.05217,75,1
S01007500,Scotland,66.98502,76,1
S01011048,Scotland,66.86688,77,1
S01007889,Scotland,66.55196,78,1
S01007877,Scotland,66.52167,79,1
S01010774,Scotland,66.49743,80,1
S01010765,Scotland,66.4065,81,1
S01007379,Scotland,66.19839,82,1
S01007563,Scotland,66.13989,83,1
S01007351,Scotland,65.67418,84,1
S01007552,Scotland,65.65935,85,1
S01007558,Scotland,65.57574,86,1
S01007596,Scotland,65.39155,87,1
S01011171,Scotland,65.36664,88,1
S01007550,Scotland,65.29019,89,1
S01007050,Scotland,64.94094,90,1
S01007288,Scotland,64.8305,91,1
S01012638,Scotland,64.81444,92,1
S01007058,Scotland,64.67698,93,1
S01010698,Scotland,64.59678,94,1
S01012406,Scotland,64.44259,95,1
S01010666,Scotland,64.42379,96,1
S01012407,Scotland,64.37748,97,1
S01007881,Scotland,64.3633,98,1
S01010688,Scotland,64.30882,99,1
S01010790,Scotland,64.25301,100,1
S01010677,Scotland,64.24049,101,1
S01012571,Scotland,64.23711,102,1
S01007878,Scotland,64.21179,103,1
S01007285,Scotland,64.13712,104,1
S01007357,Scotland,64.09645,105,1
S01010763,Scotland,64.00628,106,1
S01007503,Scotland,63.87109,107,1
S01009049,Scotland,63.56877,108,1
S01007885,Scotland,63.54671,109,1
S01007332,Scotland,63.29848,110,1
S01007304,Scotland,63.2847,111,1
S01010665,Scotland,63.26145,112,1
S01013120,Scotland,63.25336,113,1
S01010751,Scotland,63.19268,114,1
S01006878,Scotland,63.01744,115,1
S01012570,Scotland,62.98713,116,1
S01010686,Scotland,62.72777,117,1
S01012388,Scotland,62.66629,118,1
S01007646,Scotland,62.57581,119,1
S01012572,Scotland,62.5208,120,1
S01010676,Scotland,62.37378,121,1
S01010693,Scotland,62.29923,122,1
S01007561,Scotland,62.26174,123,1
S01007509,Scotland,62.25834,124,1
S01011049,Scotland,62.18474,125,1
S01012418,Scotland,62.11497,126,1
S01012389,Scotland,62.05231,127,1
S01007555,Scotland,62.04575,128,1
S01007508,Scotland,61.88801,129,1
S01010764,Scotland,61.82366,130,1
S01009018,Scotland,61.76263,131,1
S01007325,Scotland,61.63931,132,1
S01012408,Scotland,61.57379,133,1
S01007311,Scotland,61.41751,134,1
S01007345,Scotland,61.1418,135,1
S01011811,Scotland,61.12708,136,1
S01007874,Scotland,60.96017,137,1
S01007879,Scotland,60.94037,138,1
S01007309,Scotland,60.91645,139,1
S01011810,Scotland,60.8741,140,1
S01007313,Scotland,60.66075,141,1
S01007044,Scotland,60.58524,142,1
S01007321,Scotland,60.56474,143,1
S01010748,Scotland,60.55578,144,1
S01007510,Scotland,60.42253,145,1
S01006791,Scotland,60.3595,146,1
S01011174,Scotland,60.35577,147,1
S01007347,Scotland,60.15393,148,1
S01007340,Scotland,60.12871,149,1
S01012017,Scotland,60.08314,150,1
S01007045,Scotland,59.96425,151,1
S01007046,Scotland,59.8568,152,1
S01007350,Scotland,59.7986,153,1
S01007051,Scotland,59.64042,154,1
S01007560,Scotland,59.47655,155,1
S01007562,Scotland,59.46427,156,1
S01011052,Scotland,59.44689,157,1
S01012411,Scotland,59.36813,158,1
S01007346,Scotland,59.25584,159,1
S01007502,Scotland,59.24682,160,1
S01011046,Scotland,59.19169,161,1
S01010527,Scotland,58.99032,162,1
S01012016,Scotland,58.82105,163,1
S01007891,Scotland,58.77591,164,1
S01007006,Scotland,58.77385,165,1
S01010664,Scotland,58.61876,166,1
S01007890,Scotland,58.57307,167,1
S01010750,Scotland,58.50201,168,1
S01007320,Scotland,58.43179,169,1
S01011054,Scotland,58.31307,170,1
S01007353,Scotland,58.3012,171,1
S01010682,Scotland,58.27324,172,1
S01007544,Scotland,58.13058,173,1
S01011173,Scotland,58.02225,174,1
S01010655,Scotland,57.96597,175,1
S01011053,Scotland,57.95912,176,1
S01007054,Scotland,57.85903,177,1
S01010530,Scotland,57.83848,178,1
S01011812,Scotland,57.80168,179,1
S01007063,Scotland,57.78343,180,1
S01007496,Scotland,57.69299,181,1
S01007306,Scotland,57.53392,182,1
S01009022,Scotland,57.40967,183,1
S01007056,Scotland,57.40689,184,1
S01007551,Scotland,57.35896,185,1
S01011050,Scotland,57.15322,186,1
S01012313,Scotland,57.12247,187,1
S01013119,Scotland,57.09264,188,1
S01012585,Scotland,57.08765,189,1
S01011981,Scotland,56.79347,190,1
S01012420,Scotland,56.66958,191,1
S01007343,Scotland,56.66893,192,1
S01010667,Scotland,56.62818,193,1
S01012018,Scotland,56.51918,194,1
S01012422,Scotland,56.49689,195,1
S01007531,Scotland,56.48032,196,1
S01007348,Scotland,56.46301,197,1
S01006991,Scotland,56.44023,198,1
S01007042,Scotland,56.38385,199,1
S01007283,Scotland,56.25719,200,1
S01011859,Scotland,56.17567,201,1
S01007595,Scotland,56.1344,202,1
S01011983,Scotland,56.10404,203,1
S01007565,Scotland,56.09565,204,1
S01007921,Scotland,56.0885,205,1
S01007322,Scotland,56.04652,206,1
S01007654,Scotland,55.94783,207,1
S01006875,Scotland,55.89462,208,1
S01007650,Scotland,55.86915,209,1
S01012419,Scotland,55.86612,210,1
S01007047,Scotland,55.85362,211,1
S01012354,Scotland,55.80284,212,1
S01007060,Scotland,55.77509,213,1
S01007358,Scotland,55.67519,214,1
S01007494,Scotland,55.65078,215,1
S01011047,Scotland,55.44377,216,1
S01011051,Scotland,55.41634,217,1
S01010566,Scotland,55.16566,218,1
S01012639,Scotland,55.13982,219,1
S01010731,Scotland,55.077,220,1
S01007354,Scotland,55.0323,221,1
S01012300,Scotland,54.98096,222,1
S01012312,Scotland,54.96377,223,1
S01007024,Scotland,54.78065,224,1
S01010787,Scotland,54.72101,225,1
S01007323,Scotland,54.62392,226,1
S01012390,Scotland,54.56706,227,1
S01011829,Scotland,54.55728,228,1
S01006879,Scotland,54.50517,229,1
S01007359,Scotland,54.50193,230,1
S01007356,Scotland,54.42847,231,1
S01009622,Scotland,54.42273,232,1
S01007653,Scotland,54.16341,233,1
S01010791,Scotland,54.11048,234,1
S01012436,Scotland,54.04148,235,1
S01006792,Scotland,53.99448,236,1
S01006993,Scotland,53.82639,237,1
S01012581,Scotland,53.79073,238,1
S01010570,Scotland,53.71943,239,1
S01010525,Scotland,53.65866,240,1
S01007886,Scotland,53.62767,241,1
S01012423,Scotland,53.5593,242,1
S01006802,Scotland,53.55631,243,1
S01012303,Scotland,53.53222,244,1
S01007564,Scotland,53.42414,245,1
S01011807,Scotland,53.38376,246,1
S01007349,Scotland,53.2732,247,1
S01012299,Scotland,53.19808,248,1
S01006999,Scotland,53.13731,249,1
S01007559,Scotland,53.0323,250,1
S01012641,Scotland,53.00461,251,1
S01007053,Scotland,52.97659,252,1
S01011196,Scotland,52.97512,253,1
S01011327,Scotland,52.94714,254,1
S01011814,Scotland,52.94207,255,1
S01006996,Scotland,52.93272,256,1
S01007922,Scotland,52.87661,257,1
S01009280,Scotland,52.82573,258,1
S01007342,Scotland,52.82518,259,1
S01007064,Scotland,52.76316,260,1
S01007062,Scotland,52.73599,261,1
S01011243,Scotland,52.64937,262,1
S01007057,Scotland,52.58488,263,1
S01007052,Scotland,52.58249,264,1
S01012328,Scotland,52.54042,265,1
S01011059,Scotland,52.50699,266,1
S01007547,Scotland,52.49926,267,1
S01007059,Scotland,52.44145,268,1
S01007068,Scotland,52.38273,269,1
S01007101,Scotland,52.38238,270,1
S01006978,Scotland,52.36698,271,1
S01007548,Scotland,52.32134,272,1
S01007071,Scotland,52.19696,273,1
S01007048,Scotland,52.19594,274,1
S01012302,Scotland,52.1426,275,1
S01010691,Scotland,52.13967,276,1
S01006979,Scotland,52.13762,277,1
S01012378,Scotland,52.13657,278,1
S01012271,Scotland,51.90409,279,1
S01007025,Scotland,51.884,280,1
S01007282,Scotland,51.8172,281,1
S01007504,Scotland,51.8169,282,1
S01012304,Scotland,51.78389,283,1
S01009016,Scotland,51.77073,284,1
S01012249,Scotland,51.74779,285,1
S01007948,Scotland,51.71919,286,1
S01007940,Scotland,51.71502,287,1
S01012540,Scotland,51.70995,288,1
S01011180,Scotland,51.67388,289,1
S01007924,Scotland,51.49168,290,1
S01007341,Scotland,51.44779,291,1
S01009026,Scotland,51.4365,292,1
S01010656,Scotland,51.41703,293,1
S01007963,Scotland,51.36821,294,1
S01012421,Scotland,51.24396,295,1
S01011252,Scotland,51.21129,296,1
S01007674,Scotland,51.19218,297,1
S01010798,Scotland,51.19197,298,1
S01013118,Scotland,51.1552,299,1
S01007380,Scotland,51.10002,300,1
S01007344,Scotland,51.08902,301,1
S01009184,Scotland,51.08646,302,1
S01007303,Scotland,51.03823,303,1
S01012358,Scotland,50.98657,304,1
S01011444,Scotland,50.93555,305,1
S01011804,Scotland,50.83361,306,1
S01009281,Scotland,50.82725,307,1
S01012573,Scotland,50.78022,308,1
S01010903,Scotland,50.77673,309,1
S01007873,Scotland,50.75283,310,1
S01013017,Scotland,50.67629,311,1
S01009701,Scotland,50.63382,312,1
S01012298,Scotland,50.61624,313,1
S01009699,Scotland,50.60245,314,1
S01010657,Scotland,50.5929,315,1
S01010796,Scotland,50.51947,316,1
S01007655,Scotland,50.50376,317,1
S01007286,Scotland,50.48801,318,1
S01006793,Scotland,50.47644,319,1
S01012263,Scotland,50.46071,320,1
S01007004,Scotland,50.30927,321,1
S01006994,Scotland,50.21106,322,1
S01011253,Scotland,50.17377,323,1
S01013014,Scotland,50.16115,324,1
S01007566,Scotland,50.12516,325,1
S01009705,Scotland,50.11756,326,1
S01010532,Scotland,50.08148,327,1
S01007328,Scotland,50.06282,328,1
S01007571,Scotland,50.05082,329,1
S01012379,Scotland,50.04779,330,1
S01009017,Scotland,50.02522,331,1
S01012009,Scotland,49.92036,332,1
S01012591,Scotland,49.90837,333,1
S01010553,Scotland,49.85592,334,1
S01011245,Scotland,49.68111,335,1
S01012329,Scotland,49.66133,336,1
S01012306,Scotland,49.61385,337,1
S01011877,Scotland,49.47321,338,1
S01007651,Scotland,49.47061,339,1
S01006790,Scotland,49.46719,340,1
S01007279,Scotland,49.45343,341,1
S01009035,Scotland,49.43765,342,1
S01010747,Scotland,49.4161,343,1
S01007884,Scotland,49.39311,344,1
S01012584,Scotland,49.38141,345,1
S01008001,Scotland,49.37473,346,1
S01007067,Scotland,49.34322,347,1
S01011055,Scotland,49.28037,348,1
S01012441,Scotland,49.22651,349,1
S01009015,Scotland,49.214,350,1
S01007522,Scotland,49.20962,351,1
S01007326,Scotland,49.20071,352,1
S01012579,Scotland,49.12454,353,1
S01006815,Scotland,49.10278,354,1
S01012417,Scotland,49.03674,355,1
S01010719,Scotland,49.01599,356,1
S01007597,Scotland,49.00683,357,1
S01012539,Scotland,48.9271,358,1
S01007227,Scotland,48.91799,359,1
S01012583,Scotland,48.89168,360,1
S01007065,Scotland,48.84616,361,1
S01007523,Scotland,48.82153,362,1
S01007945,Scotland,48.66036,363,1
S01010507,Scotland,48.6567,364,1
S01012355,Scotland,48.64764,365,1
S01006858,Scotland,48.63936,366,1
S01012008,Scotland,48.62945,367,1
S01007649,Scotland,48.60059,368,1
S01007055,Scotland,48.58874,369,1
S01012642,Scotland,48.579,370,1
S01009700,Scotland,48.53387,371,1
S01006807,Scotland,48.50115,372,1
S01007641,Scotland,48.49127,373,1
S01007883,Scotland,48.43488,374,1
S01007634,Scotland,48.43038,375,1
S01007520,Scotland,48.39656,376,1
S01013027,Scotland,48.33287,377,1
S01009706,Scotland,48.32714,378,1
S01011147,Scotland,48.3203,379,1
S01010528,Scotland,48.31925,380,1
S01006995,Scotland,48.30277,381,1
S01011244,Scotland,48.27699,382,1
S01009047,Scotland,48.27288,383,1
S01006810,Scotland,48.22148,384,1
S01007944,Scotland,48.19504,385,1
S01011861,Scotland,48.17899,386,1
S01012272,Scotland,48.14274,387,1
S01011680,Scotland,48.1307,388,1
S01012301,Scotland,48.08569,389,1
S01007880,Scotland,48.02456,390,1
S01011438,Scotland,47.93029,391,1
S01006876,Scotland,47.87561,392,1
S01010789,Scotland,47.84219,393,1
S01007023,Scotland,47.81438,394,1
S01007061,Scotland,47.74214,395,1
S01012007,Scotland,47.73563,396,1
S01013016,Scotland,47.73213,397,1
S01013009,Scotland,47.68184,398,1
S01013162,Scotland,47.66696,399,1
S01006813,Scotland,47.64933,400,1
S01011858,Scotland,47.64438,401,1
S01011168,Scotland,47.58834,402,1
S01011806,Scotland,47.5869,403,1
S01012651,Scotland,47.57226,404,1
S01010344,Scotland,47.48108,405,1
S01013110,Scotland,47.46887,406,1
S01011963,Scotland,47.44906,407,1
S01007645,Scotland,47.41259,408,1
S01009185,Scotland,47.36754,409,1
S01012248,Scotland,47.3493,410,1
S01010897,Scotland,47.32441,411,1
S01009270,Scotland,47.29677,412,1
S01006818,Scotland,47.194,413,1
S01007906,Scotland,47.14803,414,1
S01007360,Scotland,47.14158,415,1
S01007657,Scotland,47.1146,416,1
S01007540,Scotland,47.10207,417,1
S01011867,Scotland,47.09534,418,1
S01009014,Scotland,47.0754,419,1
S01007870,Scotland,47.07381,420,1
S01011056,Scotland,47.05063,421,1
S01011336,Scotland,47.04974,422,1
S01012580,Scotland,47.04455,423,1
S01010111,Scotland,47.04262,424,1
S01013010,Scotland,47.02328,425,1
S01012403,Scotland,46.99139,426,1
S01011085,Scotland,46.95215,427,1
S01009020,Scotland,46.88484,428,1
S01009268,Scotland,46.86476,429,1
S01007910,Scotland,46.85299,430,1
S01007656,Scotland,46.85022,431,1
S01007016,Scotland,46.83145,432,1
S01013109,Scotland,46.82825,433,1
S01007280,Scotland,46.72588,434,1
S01007015,Scotland,46.7164,435,1
S01009019,Scotland,46.67468,436,1
S01007327,Scotland,46.66295,437,1
S01006811,Scotland,46.66284,438,1
S01011316,Scotland,46.6141,439,1
S01010795,Scotland,46.60385,440,1
S01012287,Scotland,46.57051,441,1
S01011146,Scotland,46.56839,442,1
S01007026,Scotland,46.51496,443,1
S01010138,Scotland,46.5087,444,1
S01011089,Scotland,46.41227,445,1
S01012296,Scotland,46.38239,446,1
S01011328,Scotland,46.25674,447,1
S01006874,Scotland,46.24017,448,1
S01012013,Scotland,46.23249,449,1
S01011214,Scotland,46.22154,450,1
S01010670,Scotland,46.19445,451,1
S01011175,Scotland,46.1703,452,1
S01011176,Scotland,46.16601,453,1
S01007905,Scotland,46.09738,454,1
S01012588,Scotland,46.07397,455,1
S01007000,Scotland,46.05789,456,1
S01007633,Scotland,46.03492,457,1
S01011866,Scotland,45.95804,458,1
S01010541,Scotland,45.95002,459,1
S01007652,Scotland,45.88946,460,1
S01012574,Scotland,45.86897,461,1
S01011302,Scotland,45.85872,462,1
S01012586,Scotland,45.78568,463,1
S01012297,Scotland,45.76251,464,1
S01012324,Scotland,45.72614,465,1
S01011808,Scotland,45.71765,466,1
S01006809,Scotland,45.68793,467,1
S01007095,Scotland,45.6595,468,1
S01007896,Scotland,45.6494,469,1
S01013001,Scotland,45.62633,470,1
S01009713,Scotland,45.61954,471,1
S01006798,Scotland,45.61437,472,1
S01009048,Scotland,45.51747,473,1
S01007331,Scotland,45.51641,474,1
S01012404,Scotland,45.46856,475,1
S01012325,Scotland,45.4604,476,1
S01007943,Scotland,45.43865,477,1
S01012083,Scotland,45.4373,478,1
S01012072,Scotland,45.43018,479,1
S01011300,Scotland,45.42833,480,1
S01013254,Scotland,45.24284,481,1
S01011217,Scotland,45.22214,482,1
S01011086,Scotland,45.18956,483,1
S01010904,Scotland,45.17677,484,1
S01010671,Scotland,45.17147,485,1
S01009665,Scotland,45.12979,486,1
S01013018,Scotland,45.12371,487,1
S01012342,Scotland,45.07932,488,1
S01007946,Scotland,45.06875,489,1
S01010901,Scotland,45.05714,490,1
S01011420,Scotland,45.04994,491,1
S01006877,Scotland,44.98208,492,1
S01010697,Scotland,44.96704,493,1
S01012244,Scotland,44.92806,494,1
S01011315,Scotland,44.92129,495,1
S01006888,Scotland,44.88151,496,1
S01007909,Scotland,44.87908,497,1
S01010762,Scotland,44.85018,498,1
S01012020,Scotland,44.84879,499,1
S01009676,Scotland,44.8458,500,1
S01007267,Scotland,44.81726,501,1
S01012096,Scotland,44.77782,502,1
S01011884,Scotland,44.7772,503,1
S01012038,Scotland,44.77382,504,1
S01007366,Scotland,44.75172,505,1
S01010531,Scotland,44.7349,506,1
S01010455,Scotland,44.73398,507,1
S01011240,Scotland,44.71473,508,1
S01011848,Scotland,44.70726,509,1
S01011058,Scotland,44.70667,510,1
S01010856,Scotland,44.67911,511,1
S01007913,Scotland,44.65621,512,1
S01011308,Scotland,44.57504,513,1
S01009203,Scotland,44.55883,514,1
S01009666,Scotland,44.51764,515,1
S01011876,Scotland,44.51248,516,1
S01006817,Scotland,44.50971,517,1
S01007882,Scotland,44.49529,518,1
S01012245,Scotland,44.49301,519,1
S01010890,Scotland,44.48045,520,1
S01011313,Scotland,44.39808,521,1
S01010177,Scotland,44.37854,522,1
S01013201,Scotland,44.34583,523,1
S01012437,Scotland,44.34296,524,1
S01007242,Scotland,44.33462,525,1
S01010690,Scotland,44.32963,526,1
S01006915,Scotland,44.32471,527,1
S01007521,Scotland,44.3075,528,1
S01007361,Scotland,44.26974,529,1
S01009715,Scotland,44.26568,530,1
S01007334,Scotland,44.23099,531,1
S01012068,Scotland,44.23013,532,1
S01011880,Scotland,44.22053,533,1
S01006997,Scotland,44.20115,534,1
S01007364,Scotland,44.19417,535,1
S01011326,Scotland,44.16861,536,1
S01009977,Scotland,44.16669,537,1
S01012541,Scotland,44.16502,538,1
S01012537,Scotland,44.15563,539,1
S01011344,Scotland,44.10884,540,1
S01012427,Scotland,44.07719,541,1
S01011087,Scotland,44.07708,542,1
S01011325,Scotland,44.06518,543,1
S01011372,Scotland,44.05468,544,1
S01010850,Scotland,44.05087,545,1
S01008929,Scotland,44.04998,546,1
S01013029,Scotland,44.04378,547,1
S01011998,Scotland,44.0357,548,1
S01006998,Scotland,44.01979,549,1
S01007640,Scotland,43.99761,550,1
S01007499,Scotland,43.97663,551,1
S01012397,Scotland,43.9766,552,1
S01007911,Scotland,43.97145,553,1
S01006975,Scotland,43.97105,554,1
S01012349,Scotland,43.96422,555,1
S01010245,Scotland,43.95569,556,1
S01012341,Scotland,43.95445,557,1
S01012425,Scotland,43.93696,558,1
S01007507,Scotland,43.9024,559,1
S01013015,Scotland,43.87811,560,1
S01007631,Scotland,43.86241,561,1
S01006816,Scotland,43.8338,562,1
S01007904,Scotland,43.80538,563,1
S01007900,Scotland,43.79682,564,1
S01013031,Scotland,43.76208,565,1
S01011809,Scotland,43.66523,566,1
S01011678,Scotland,43.64849,567,1
S01012653,Scotland,43.59125,568,1
S01010552,Scotland,43.58919,569,1
S01007748,Scotland,43.55904,570,1
S01007031,Scotland,43.51396,571,1
S01010862,Scotland,43.51051,572,1
S01012439,Scotland,43.49634,573,1
S01011310,Scotland,43.49375,574,1
S01012838,Scotland,43.48639,575,1
S01013205,Scotland,43.46816,576,1
S01010792,Scotland,43.4389,577,1
S01012410,Scotland,43.37716,578,1
S01009702,Scotland,43.15236,579,1
S01007305,Scotland,43.12691,580,1
S01010542,Scotland,43.098,581,1
S01010129,Scotland,42.99795,582,1
S01007954,Scotland,42.99693,583,1
S01007723,Scotland,42.98676,584,1
S01007102,Scotland,42.90814,585,1
S01011265,Scotland,42.90608,586,1
S01011598,Scotland,42.9006,587,1
S01007632,Scotland,42.89633,588,1
S01011361,Scotland,42.88967,589,1
S01010524,Scotland,42.88468,590,1
S01007226,Scotland,42.86231,591,1
S01007281,Scotland,42.83816,592,1
S01011870,Scotland,42.82379,593,1
S01013002,Scotland,42.81325,594,1
S01012434,Scotland,42.80961,595,1
S01010746,Scotland,42.80261,596,1
S01012435,Scotland,42.79159,597,1
S01007170,Scotland,42.79132,598,1
S01010529,Scotland,42.78188,599,1
S01012346,Scotland,42.76938,600,1
S01007030,Scotland,42.75963,601,1
S01009656,Scotland,42.74383,602,1
S01010564,Scotland,42.74301,603,1
S01011681,Scotland,42.69789,604,1
S01007266,Scotland,42.69502,605,1
S01007001,Scotland,42.68074,606,1
S01006980,Scotland,42.66388,607,1
S01007907,Scotland,42.66096,608,1
S01011250,Scotland,42.65904,609,1
S01011090,Scotland,42.62938,610,1
S01007543,Scotland,42.6116,611,1
S01011676,Scotland,42.60827,612,1
S01007268,Scotland,42.58453,613,1
S01007378,Scotland,42.56967,614,1
S01012262,Scotland,42.54086,615,1
S01007066,Scotland,42.52787,616,1
S01011805,Scotland,42.52748,617,1
S01011215,Scotland,42.52107,618,1
S01012347,Scotland,42.52015,619,1
S01012265,Scotland,42.50318,620,1
S01010172,Scotland,42.45613,621,1
S01008006,Scotland,42.40654,622,1
S01010644,Scotland,42.37022,623,1
S01012696,Scotland,42.33561,624,1
S01011964,Scotland,42.29428,625,1
S01009624,Scotland,42.26291,626,1
S01010047,Scotland,42.25899,627,1
S01012067,Scotland,42.25097,628,1
S01012426,Scotland,42.24398,629,1
S01007894,Scotland,42.23265,630,1
S01006881,Scotland,42.21261,631,1
S01010362,Scotland,42.20484,632,1
S01009704,Scotland,42.19943,633,1
S01010692,Scotland,42.19899,634,1
S01009679,Scotland,42.17922,635,1
S01010720,Scotland,42.16793,636,1
S01007542,Scotland,42.1655,637,1
S01007029,Scotland,42.1363,638,1
S01007916,Scotland,42.1214,639,1
S01012359,Scotland,42.11036,640,1
S01010929,Scotland,42.08914,641,1
S01010323,Scotland,42.07806,642,1
S01012446,Scotland,42.07394,643,1
S01011962,Scotland,42.03689,644,1
S01011219,Scotland,41.98067,645,1
S01008281,Scotland,41.97753,646,1
S01013111,Scotland,41.96999,647,1
S01011345,Scotland,41.96626,648,1
S01009672,Scotland,41.95905,649,1
S01010859,Scotland,41.94924,650,1
S01007887,Scotland,41.93507,651,1
S01010673,Scotland,41.93252,652,1
S01012022,Scotland,41.906,653,1
S01007337,Scotland,41.87589,654,1
S01012001,Scotland,41.84988,655,1
S01011999,Scotland,41.84627,656,1
S01010526,Scotland,41.83901,657,1
S01013153,Scotland,41.83799,658,1
S01006855,Scotland,41.81554,659,1
S01008002,Scotland,41.81306,660,1
S01011335,Scotland,41.81217,661,1
S01013075,Scotland,41.80238,662,1
S01011371,Scotland,41.79919,663,1
S01012575,Scotland,41.79009,664,1
S01011351,Scotland,41.76495,665,1
S01013157,Scotland,41.722,666,1
S01006992,Scotland,41.71819,667,1
S01010534,Scotland,41.71792,668,1
S01012449,Scotland,41.70801,669,1
S01007675,Scotland,41.69967,670,1
S01011343,Scotland,41.67507,671,1
S01011860,Scotland,41.66906,672,1
S01010893,Scotland,41.66853,673,1
S01012100,Scotland,41.6556,674,1
S01011872,Scotland,41.65436,675,1
S01007875,Scotland,41.65007,676,1
S01011294,Scotland,41.63124,677,1
S01007876,Scotland,41.609,678,1
S01007240,Scotland,41.60049,679,1
S01013239,Scotland,41.57147,680,1
S01012081,Scotland,41.5402,681,1
S01011230,Scotland,41.52826,682,1
S01010773,Scotland,41.52462,683,1
S01006812,Scotland,41.50121,684,1
S01011455,Scotland,41.49272,685,1
S01009939,Scotland,41.48429,686,1
S01007658,Scotland,41.4834,687,1
S01010533,Scotland,41.47455,688,1
S01012247,Scotland,41.42853,689,1
S01009975,Scotland,41.39365,690,1
S01010730,Scotland,41.38008,691,1
S01007958,Scotland,41.36703,692,1
S01012396,Scotland,41.35456,693,1
S01010702,Scotland,41.33811,694,1
S01012311,Scotland,41.32979,695,1
S01012246,Scotland,41.31581,696,1
S01011609,Scotland,41.27276,697,1
S01010842,Scotland,41.25426,698,2
S01007399,Scotland,41.21431,699,2
S01012082,Scotland,41.19597,700,2
S01009708,Scotland,41.18841,701,2
S01007755,Scotland,41.18732,702,2
S01008007,Scotland,41.18093,703,2
S01009435,Scotland,41.14806,704,2
S01009703,Scotland,41.14421,705,2
S01010892,Scotland,41.13879,706,2
S01007546,Scotland,41.11831,707,2
S01009620,Scotland,41.11494,708,2
S01011337,Scotland,41.10265,709,2
S01010023,Scotland,41.10257,710,2
S01007618,Scotland,40.99568,711,2
S01010885,Scotland,40.98667,712,2
S01007644,Scotland,40.97312,713,2
S01010568,Scotland,40.95061,714,2
S01008000,Scotland,40.94813,715,2
S01009188,Scotland,40.93373,716,2
S01012012,Scotland,40.92254,717,2
S01006880,Scotland,40.91962,718,2
S01011145,Scotland,40.91881,719,2
S01011865,Scotland,40.90656,720,2
S01007318,Scotland,40.90313,721,2
S01013184,Scotland,40.89274,722,2
S01007524,Scotland,40.88391,723,2
S01010723,Scotland,40.87164,724,2
S01010207,Scotland,40.84885,725,2
S01012353,Scotland,40.84768,726,2
S01011851,Scotland,40.8399,727,2
S01007648,Scotland,40.83942,728,2
S01010902,Scotland,40.82763,729,2
S01010212,Scotland,40.8219,730,2
S01011843,Scotland,40.81969,731,2
S01006886,Scotland,40.81642,732,2
S01011813,Scotland,40.81311,733,2
S01011061,Scotland,40.80416,734,2
S01011862,Scotland,40.80318,735,2
S01007335,Scotland,40.78999,736,2
